transaction_id,date,day_of_week,time,daypart,store_id,city,neighborhood,country,product,category,subcategory,unit_price_usd,quantity,gross_total_usd,discount_pct,net_total_usd,profit_usd,margin_pct,payment_method,customer_id,loyalty_tier,stars_earned,season,weather
TXN-0001,2024-11-23,Saturday,09:14,Mid Morning,STR-LA-01,Los Angeles,Downtown,USA,Matcha Latte,Beverages,Hot Coffee,6.25,1,6.25,5,5.94,4.55,72.8,App,CUST-02419,Platinum,3,Fall,Snowy
TXN-0002,2024-01-17,Wednesday,09:38,Mid Morning,STR-NYC-01,New York,Manhattan,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,1,6.45,0,6.45,4.65,72.1,Contactless,CUST-00903,Platinum,3,Winter,Snowy
TXN-0003,2024-10-28,Monday,06:51,Morning Rush,STR-LA-01,Los Angeles,Downtown,USA,Chai Tea Latte,Beverages,Tea,5.45,2,10.9,0,10.9,8.1,74.3,Card,CUST-00882,Gold,4,Fall,Rainy
TXN-0004,2024-02-22,Thursday,10:22,Mid Morning,STR-BOS-01,Boston,Back Bay,USA,Cold Brew,Beverages,Cold Coffee,4.75,1,4.75,0,4.75,3.65,76.8,Contactless,CUST-02197,Green,3,Winter,Sunny
TXN-0005,2024-07-12,Friday,17:39,Evening,STR-SEA-01,Seattle,Capitol Hill,USA,Cold Brew,Beverages,Cold Coffee,4.75,1,4.75,0,4.75,3.65,76.8,App,CUST-02709,Platinum,1,Summer,Cloudy
TXN-0006,2024-05-28,Tuesday,18:24,Evening,STR-CHI-01,Chicago,The Loop,USA,Matcha Latte,Beverages,Hot Coffee,6.25,3,18.75,0,18.75,13.65,72.8,Cash,CUST-01456,Gold,3,Spring,Cloudy
TXN-0007,2024-12-09,Monday,16:04,Afternoon,STR-BOS-01,Boston,Back Bay,USA,Chai Tea Latte,Beverages,Tea,5.45,2,10.9,0,10.9,8.1,74.3,Card,CUST-00670,Platinum,6,Winter,Snowy
TXN-0008,2024-07-13,Saturday,15:35,Afternoon,STR-LA-02,Los Angeles,Santa Monica,USA,Espresso,Beverages,Hot Coffee,2.95,4,11.8,0,11.8,9.4,79.7,App,CUST-01293,Green,4,Summer,Snowy
TXN-0009,2024-05-17,Friday,20:56,Evening,STR-SEA-01,Seattle,Capitol Hill,USA,Matcha Latte,Beverages,Hot Coffee,6.25,1,6.25,0,6.25,4.55,72.8,Contactless,CUST-00586,Gold,2,Spring,Rainy
TXN-0010,2024-03-12,Tuesday,13:47,Lunch,STR-BOS-01,Boston,Back Bay,USA,Chai Tea Latte,Beverages,Tea,5.45,2,10.9,0,10.9,8.1,74.3,Cash,CUST-00899,Platinum,4,Spring,Cloudy
TXN-0011,2024-09-17,Tuesday,07:07,Morning Rush,STR-LA-01,Los Angeles,Downtown,USA,Marshmallow Dream Bar,Food,Snacks,2.95,1,2.95,0,2.95,2.15,72.9,App,CUST-01577,Platinum,2,Fall,Snowy
TXN-0012,2024-11-01,Friday,20:55,Evening,STR-NYC-01,New York,Manhattan,USA,Impossible Breakfast Sandwich,Food,Sandwiches,6.45,1,6.45,0,6.45,4.25,65.9,Cash,CUST-02626,Green,3,Fall,Rainy
TXN-0013,2024-02-27,Tuesday,11:46,Mid Morning,STR-CHI-01,Chicago,The Loop,USA,Chocolate Croissant,Food,Bakery,4.45,1,4.45,15,3.78,2.95,66.3,App,CUST-02562,Green,3,Winter,Rainy
TXN-0014,2024-11-23,Saturday,09:48,Mid Morning,STR-LA-01,Los Angeles,Downtown,USA,Bottled Water,Merchandise,Drinks,2.45,2,4.9,0,4.9,4.1,83.7,Cash,CUST-02002,Platinum,2,Fall,Sunny
TXN-0015,2024-02-27,Tuesday,17:19,Evening,STR-LA-02,Los Angeles,Santa Monica,USA,Birthday Cake Pop,Food,Snacks,1.75,3,5.25,0,5.25,3.6,68.6,App,CUST-02998,Platinum,3,Winter,Snowy
TXN-0016,2024-02-05,Monday,08:30,Morning Rush,STR-AUS-01,Austin,Downtown,USA,Starbucks Tumbler,Merchandise,Drinkware,24.95,2,49.9,0,49.9,33.9,67.9,Contactless,CUST-00868,Platinum,6,Winter,Windy
TXN-0017,2024-12-19,Thursday,11:42,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Vanilla Latte,Beverages,Hot Coffee,5.95,2,11.9,0,11.9,8.7,73.1,App,CUST-01016,Platinum,4,Winter,Cloudy
TXN-0018,2024-02-02,Friday,13:37,Lunch,STR-LA-02,Los Angeles,Santa Monica,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,1,5.25,0,5.25,3.45,65.7,App,CUST-00938,Platinum,3,Winter,Sunny
TXN-0019,2024-01-17,Wednesday,09:42,Mid Morning,STR-MIA-01,Miami,South Beach,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,1,5.25,0,5.25,3.45,65.7,Contactless,CUST-00996,Green,3,Winter,Snowy
TXN-0020,2024-07-27,Saturday,15:22,Afternoon,STR-SEA-02,Seattle,Pike Place,USA,Americano,Beverages,Hot Coffee,3.45,1,3.45,0,3.45,2.7,78.3,App,CUST-00249,Platinum,1,Summer,Snowy
TXN-0021,2024-06-22,Saturday,09:28,Mid Morning,STR-LA-01,Los Angeles,Downtown,USA,Iced Latte,Beverages,Cold Coffee,5.75,1,5.75,0,5.75,4.25,73.9,Card,CUST-00309,Gold,2,Summer,Snowy
TXN-0022,2024-10-08,Tuesday,21:53,Evening,STR-NYC-01,New York,Manhattan,USA,Matcha Latte,Beverages,Hot Coffee,6.25,1,6.25,15,5.31,4.55,72.8,Contactless,CUST-01990,Green,1,Fall,Snowy
TXN-0023,2024-04-19,Friday,09:00,Mid Morning,STR-SEA-02,Seattle,Pike Place,USA,Spinach Feta Wrap,Food,Sandwiches,5.75,3,17.25,0,17.25,11.55,67.0,Contactless,CUST-02854,Gold,6,Spring,Windy
TXN-0024,2024-12-04,Wednesday,10:03,Mid Morning,STR-BOS-01,Boston,Back Bay,USA,Marshmallow Dream Bar,Food,Snacks,2.95,1,2.95,5,2.8,2.15,72.9,Cash,CUST-00235,Green,3,Winter,Sunny
